DishName,Country,Region/City,Ingredients,Description,CookingMethod,TypicalPrice(USD),Vegetarian
Funnel Cake,USA,Texas,"Batter, Sugar, Oil","Crispy and hot, often served with sauces or chutneys.",Fried,2.65,1
Tacos al Pastor,Mexico,Mexico City,"Pork, Pineapple, Onions, Cilantro",Charred to perfection with a smoky flavor.,Grilled,0.76,0
Funnel Cake,USA,Texas,"Batter, Sugar, Oil","Crispy and hot, often served with sauces or chutneys.",Fried,1.85,1
Kokoreç,Turkey,Izmir,"Lamb Intestines, Spices, Bread",Charred to perfection with a smoky flavor.,Grilled,2.81,0
Taiyaki,Japan,Kyoto,"Flour, Red Bean Paste",Golden brown and fluffy with a soft interior.,Baked,0.8,1
Yakisoba,Japan,Tokyo,"0odles, Pork, Cabbage, Yakisoba Sauce",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,4.21,0
Pad Thai,Thailand,Bangkok,"Rice 0odles, Tofu, Eggs, Peanuts, Bean Sprouts",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,1.19,1
Moo Ping,Thailand,Chiang Mai,"Pork, Garlic, Soy Sauce, Sugar",Charred to perfection with a smoky flavor.,Grilled,4.95,0
Takoyaki,Japan,Osaka,"Octopus, Flour Batter, Bonito Flakes, Green Onions","Crispy and hot, often served with sauces or chutneys.",Fried,4.09,0
Elote,Mexico,Guadalajara,"Corn, Mayo, Cheese, Chili Powder","Soft and juicy, sometimes charred for flavor.",Boiled/Grilled,4.55,1
Vada Pav,India,Mumbai,"Potato, Spices, Bread Bun, Chutney","Crispy and hot, often served with sauces or chutneys.",Fried,0.45,1
Hot Dog,USA,New York,"Sausage, Bun, Mustard, Ketchup",Charred to perfection with a smoky flavor.,Grilled,1.89,0
Pani Puri,India,Delhi,"Semolina, Tamarind, Chickpeas, Spices",Put together fresh with a mix of flavors and textures.,Assembled,2.6,1
Taiyaki,Japan,Kyoto,"Flour, Red Bean Paste",Golden brown and fluffy with a soft interior.,Baked,4.68,1
Funnel Cake,USA,Texas,"Batter, Sugar, Oil","Crispy and hot, often served with sauces or chutneys.",Fried,4.24,1
Gözleme,Turkey,Ankara,"Dough, Spinach, Cheese",Charred to perfection with a smoky flavor.,Grilled,4.66,1
Roti Sai Mai,Thailand,Ayutthaya,"Roti, Cotton Candy",Put together fresh with a mix of flavors and textures.,Assembled,4.19,1
Quesadilla,Mexico,Puebla,"Tortilla, Cheese, Mushrooms",Charred to perfection with a smoky flavor.,Grilled,1.16,1
Yakisoba,Japan,Tokyo,"0odles, Pork, Cabbage, Yakisoba Sauce",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,0.34,0
Pad Thai,Thailand,Bangkok,"Rice 0odles, Tofu, Eggs, Peanuts, Bean Sprouts",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,1.03,1
Kathi Roll,India,Kolkata,"Flatbread, Egg, Chicken, Onions, Chutney",Charred to perfection with a smoky flavor.,Grilled,0.5,0
Pad Thai,Thailand,Bangkok,"Rice 0odles, Tofu, Eggs, Peanuts, Bean Sprouts",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,4.27,1
Pani Puri,India,Delhi,"Semolina, Tamarind, Chickpeas, Spices",Put together fresh with a mix of flavors and textures.,Assembled,1.64,1
Funnel Cake,USA,Texas,"Batter, Sugar, Oil","Crispy and hot, often served with sauces or chutneys.",Fried,4.12,1
Yakisoba,Japan,Tokyo,"0odles, Pork, Cabbage, Yakisoba Sauce",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,2.83,0
Roti Sai Mai,Thailand,Ayutthaya,"Roti, Cotton Candy",Put together fresh with a mix of flavors and textures.,Assembled,1.34,1
Quesadilla,Mexico,Puebla,"Tortilla, Cheese, Mushrooms",Charred to perfection with a smoky flavor.,Grilled,1.02,1
Moo Ping,Thailand,Chiang Mai,"Pork, Garlic, Soy Sauce, Sugar",Charred to perfection with a smoky flavor.,Grilled,0.68,0
Taiyaki,Japan,Kyoto,"Flour, Red Bean Paste",Golden brown and fluffy with a soft interior.,Baked,2.57,1
Takoyaki,Japan,Osaka,"Octopus, Flour Batter, Bonito Flakes, Green Onions","Crispy and hot, often served with sauces or chutneys.",Fried,1.31,0
Kathi Roll,India,Kolkata,"Flatbread, Egg, Chicken, Onions, Chutney",Charred to perfection with a smoky flavor.,Grilled,1.36,0
Kokoreç,Turkey,Izmir,"Lamb Intestines, Spices, Bread",Charred to perfection with a smoky flavor.,Grilled,1.34,0
Quesadilla,Mexico,Puebla,"Tortilla, Cheese, Mushrooms",Charred to perfection with a smoky flavor.,Grilled,0.54,1
Kokoreç,Turkey,Izmir,"Lamb Intestines, Spices, Bread",Charred to perfection with a smoky flavor.,Grilled,3.88,0
Yakisoba,Japan,Tokyo,"0odles, Pork, Cabbage, Yakisoba Sauce",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,2.68,0
Moo Ping,Thailand,Chiang Mai,"Pork, Garlic, Soy Sauce, Sugar",Charred to perfection with a smoky flavor.,Grilled,2.26,0
Quesadilla,Mexico,Puebla,"Tortilla, Cheese, Mushrooms",Charred to perfection with a smoky flavor.,Grilled,4.66,1
Vada Pav,India,Mumbai,"Potato, Spices, Bread Bun, Chutney","Crispy and hot, often served with sauces or chutneys.",Fried,2.06,1
Tacos al Pastor,Mexico,Mexico City,"Pork, Pineapple, Onions, Cilantro",Charred to perfection with a smoky flavor.,Grilled,1.17,0
Gözleme,Turkey,Ankara,"Dough, Spinach, Cheese",Charred to perfection with a smoky flavor.,Grilled,4.77,1
Elote,Mexico,Guadalajara,"Corn, Mayo, Cheese, Chili Powder","Soft and juicy, sometimes charred for flavor.",Boiled/Grilled,2.56,1
Roti Sai Mai,Thailand,Ayutthaya,"Roti, Cotton Candy",Put together fresh with a mix of flavors and textures.,Assembled,2.08,1
Takoyaki,Japan,Osaka,"Octopus, Flour Batter, Bonito Flakes, Green Onions","Crispy and hot, often served with sauces or chutneys.",Fried,0.92,0
Funnel Cake,USA,Texas,"Batter, Sugar, Oil","Crispy and hot, often served with sauces or chutneys.",Fried,2.17,1
Simit,Turkey,Istanbul,"Flour, Sesame Seeds, Yeast",Golden brown and fluffy with a soft interior.,Baked,2.65,1
Pad Thai,Thailand,Bangkok,"Rice 0odles, Tofu, Eggs, Peanuts, Bean Sprouts",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,2.22,1
Pad Thai,Thailand,Bangkok,"Rice 0odles, Tofu, Eggs, Peanuts, Bean Sprouts",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,2.12,1
Kathi Roll,India,Kolkata,"Flatbread, Egg, Chicken, Onions, Chutney",Charred to perfection with a smoky flavor.,Grilled,1.88,0
Roti Sai Mai,Thailand,Ayutthaya,"Roti, Cotton Candy",Put together fresh with a mix of flavors and textures.,Assembled,1.29,1
Gözleme,Turkey,Ankara,"Dough, Spinach, Cheese",Charred to perfection with a smoky flavor.,Grilled,1.06,1
Quesadilla,Mexico,Puebla,"Tortilla, Cheese, Mushrooms",Charred to perfection with a smoky flavor.,Grilled,1.63,1
Moo Ping,Thailand,Chiang Mai,"Pork, Garlic, Soy Sauce, Sugar",Charred to perfection with a smoky flavor.,Grilled,0.41,0
Philly Cheesesteak,USA,Philadelphia,"Beef, Cheese, Roll, Onions",Charred to perfection with a smoky flavor.,Grilled,1.17,0
Moo Ping,Thailand,Chiang Mai,"Pork, Garlic, Soy Sauce, Sugar",Charred to perfection with a smoky flavor.,Grilled,4.98,0
Kokoreç,Turkey,Izmir,"Lamb Intestines, Spices, Bread",Charred to perfection with a smoky flavor.,Grilled,2.09,0
Kokoreç,Turkey,Izmir,"Lamb Intestines, Spices, Bread",Charred to perfection with a smoky flavor.,Grilled,3.89,0
Vada Pav,India,Mumbai,"Potato, Spices, Bread Bun, Chutney","Crispy and hot, often served with sauces or chutneys.",Fried,4.71,1
Moo Ping,Thailand,Chiang Mai,"Pork, Garlic, Soy Sauce, Sugar",Charred to perfection with a smoky flavor.,Grilled,2.81,0
Philly Cheesesteak,USA,Philadelphia,"Beef, Cheese, Roll, Onions",Charred to perfection with a smoky flavor.,Grilled,4.93,0
Pani Puri,India,Delhi,"Semolina, Tamarind, Chickpeas, Spices",Put together fresh with a mix of flavors and textures.,Assembled,1.62,1
Takoyaki,Japan,Osaka,"Octopus, Flour Batter, Bonito Flakes, Green Onions","Crispy and hot, often served with sauces or chutneys.",Fried,3.38,0
Hot Dog,USA,New York,"Sausage, Bun, Mustard, Ketchup",Charred to perfection with a smoky flavor.,Grilled,3.53,0
Kathi Roll,India,Kolkata,"Flatbread, Egg, Chicken, Onions, Chutney",Charred to perfection with a smoky flavor.,Grilled,2.82,0
Tacos al Pastor,Mexico,Mexico City,"Pork, Pineapple, Onions, Cilantro",Charred to perfection with a smoky flavor.,Grilled,2.17,0
Philly Cheesesteak,USA,Philadelphia,"Beef, Cheese, Roll, Onions",Charred to perfection with a smoky flavor.,Grilled,3.45,0
Taiyaki,Japan,Kyoto,"Flour, Red Bean Paste",Golden brown and fluffy with a soft interior.,Baked,3.57,1
Pani Puri,India,Delhi,"Semolina, Tamarind, Chickpeas, Spices",Put together fresh with a mix of flavors and textures.,Assembled,1.63,1
Quesadilla,Mexico,Puebla,"Tortilla, Cheese, Mushrooms",Charred to perfection with a smoky flavor.,Grilled,1.53,1
Simit,Turkey,Istanbul,"Flour, Sesame Seeds, Yeast",Golden brown and fluffy with a soft interior.,Baked,4.17,1
Moo Ping,Thailand,Chiang Mai,"Pork, Garlic, Soy Sauce, Sugar",Charred to perfection with a smoky flavor.,Grilled,2.31,0
Tacos al Pastor,Mexico,Mexico City,"Pork, Pineapple, Onions, Cilantro",Charred to perfection with a smoky flavor.,Grilled,2.52,0
Funnel Cake,USA,Texas,"Batter, Sugar, Oil","Crispy and hot, often served with sauces or chutneys.",Fried,1.03,1
Yakisoba,Japan,Tokyo,"0odles, Pork, Cabbage, Yakisoba Sauce",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,1.71,0
Tacos al Pastor,Mexico,Mexico City,"Pork, Pineapple, Onions, Cilantro",Charred to perfection with a smoky flavor.,Grilled,2.48,0
Vada Pav,India,Mumbai,"Potato, Spices, Bread Bun, Chutney","Crispy and hot, often served with sauces or chutneys.",Fried,4.89,1
Gözleme,Turkey,Ankara,"Dough, Spinach, Cheese",Charred to perfection with a smoky flavor.,Grilled,0.86,1
Takoyaki,Japan,Osaka,"Octopus, Flour Batter, Bonito Flakes, Green Onions","Crispy and hot, often served with sauces or chutneys.",Fried,4.02,0
Vada Pav,India,Mumbai,"Potato, Spices, Bread Bun, Chutney","Crispy and hot, often served with sauces or chutneys.",Fried,4.16,1
Taiyaki,Japan,Kyoto,"Flour, Red Bean Paste",Golden brown and fluffy with a soft interior.,Baked,2.61,1
Takoyaki,Japan,Osaka,"Octopus, Flour Batter, Bonito Flakes, Green Onions","Crispy and hot, often served with sauces or chutneys.",Fried,3.43,0
Simit,Turkey,Istanbul,"Flour, Sesame Seeds, Yeast",Golden brown and fluffy with a soft interior.,Baked,4.91,1
Hot Dog,USA,New York,"Sausage, Bun, Mustard, Ketchup",Charred to perfection with a smoky flavor.,Grilled,1.93,0
Moo Ping,Thailand,Chiang Mai,"Pork, Garlic, Soy Sauce, Sugar",Charred to perfection with a smoky flavor.,Grilled,3.01,0
Taiyaki,Japan,Kyoto,"Flour, Red Bean Paste",Golden brown and fluffy with a soft interior.,Baked,0.79,1
Funnel Cake,USA,Texas,"Batter, Sugar, Oil","Crispy and hot, often served with sauces or chutneys.",Fried,2.85,1
Philly Cheesesteak,USA,Philadelphia,"Beef, Cheese, Roll, Onions",Charred to perfection with a smoky flavor.,Grilled,3.01,0
Elote,Mexico,Guadalajara,"Corn, Mayo, Cheese, Chili Powder","Soft and juicy, sometimes charred for flavor.",Boiled/Grilled,4.22,1
Takoyaki,Japan,Osaka,"Octopus, Flour Batter, Bonito Flakes, Green Onions","Crispy and hot, often served with sauces or chutneys.",Fried,1.76,0
Kokoreç,Turkey,Izmir,"Lamb Intestines, Spices, Bread",Charred to perfection with a smoky flavor.,Grilled,4.88,0
Yakisoba,Japan,Tokyo,"0odles, Pork, Cabbage, Yakisoba Sauce",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,2.24,0
Simit,Turkey,Istanbul,"Flour, Sesame Seeds, Yeast",Golden brown and fluffy with a soft interior.,Baked,4.46,1
Funnel Cake,USA,Texas,"Batter, Sugar, Oil","Crispy and hot, often served with sauces or chutneys.",Fried,4.06,1
Tacos al Pastor,Mexico,Mexico City,"Pork, Pineapple, Onions, Cilantro",Charred to perfection with a smoky flavor.,Grilled,2.63,0
Pani Puri,India,Delhi,"Semolina, Tamarind, Chickpeas, Spices",Put together fresh with a mix of flavors and textures.,Assembled,4.26,1
Gözleme,Turkey,Ankara,"Dough, Spinach, Cheese",Charred to perfection with a smoky flavor.,Grilled,2.75,1
Moo Ping,Thailand,Chiang Mai,"Pork, Garlic, Soy Sauce, Sugar",Charred to perfection with a smoky flavor.,Grilled,2.71,0
Kokoreç,Turkey,Izmir,"Lamb Intestines, Spices, Bread",Charred to perfection with a smoky flavor.,Grilled,2.73,0
Kokoreç,Turkey,Izmir,"Lamb Intestines, Spices, Bread",Charred to perfection with a smoky flavor.,Grilled,0.77,0
Moo Ping,Thailand,Chiang Mai,"Pork, Garlic, Soy Sauce, Sugar",Charred to perfection with a smoky flavor.,Grilled,4.24,0
Vada Pav,India,Mumbai,"Potato, Spices, Bread Bun, Chutney","Crispy and hot, often served with sauces or chutneys.",Fried,1.61,1
Gözleme,Turkey,Ankara,"Dough, Spinach, Cheese",Charred to perfection with a smoky flavor.,Grilled,4.1,1
Funnel Cake,USA,Texas,"Batter, Sugar, Oil","Crispy and hot, often served with sauces or chutneys.",Fried,3.61,1
Takoyaki,Japan,Osaka,"Octopus, Flour Batter, Bonito Flakes, Green Onions","Crispy and hot, often served with sauces or chutneys.",Fried,4.5,0
Moo Ping,Thailand,Chiang Mai,"Pork, Garlic, Soy Sauce, Sugar",Charred to perfection with a smoky flavor.,Grilled,1.41,0
Vada Pav,India,Mumbai,"Potato, Spices, Bread Bun, Chutney","Crispy and hot, often served with sauces or chutneys.",Fried,5,1
Pani Puri,India,Delhi,"Semolina, Tamarind, Chickpeas, Spices",Put together fresh with a mix of flavors and textures.,Assembled,0.25,1
Taiyaki,Japan,Kyoto,"Flour, Red Bean Paste",Golden brown and fluffy with a soft interior.,Baked,0.4,1
Yakisoba,Japan,Tokyo,"0odles, Pork, Cabbage, Yakisoba Sauce",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,2.52,0
Pad Thai,Thailand,Bangkok,"Rice 0odles, Tofu, Eggs, Peanuts, Bean Sprouts",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,0.29,1
Quesadilla,Mexico,Puebla,"Tortilla, Cheese, Mushrooms",Charred to perfection with a smoky flavor.,Grilled,0.65,1
Roti Sai Mai,Thailand,Ayutthaya,"Roti, Cotton Candy",Put together fresh with a mix of flavors and textures.,Assembled,1.33,1
Gözleme,Turkey,Ankara,"Dough, Spinach, Cheese",Charred to perfection with a smoky flavor.,Grilled,4.85,1
Simit,Turkey,Istanbul,"Flour, Sesame Seeds, Yeast",Golden brown and fluffy with a soft interior.,Baked,3.73,1
Pani Puri,India,Delhi,"Semolina, Tamarind, Chickpeas, Spices",Put together fresh with a mix of flavors and textures.,Assembled,3.4,1
Hot Dog,USA,New York,"Sausage, Bun, Mustard, Ketchup",Charred to perfection with a smoky flavor.,Grilled,2.53,0
Hot Dog,USA,New York,"Sausage, Bun, Mustard, Ketchup",Charred to perfection with a smoky flavor.,Grilled,3.84,0
Hot Dog,USA,New York,"Sausage, Bun, Mustard, Ketchup",Charred to perfection with a smoky flavor.,Grilled,3.82,0
Funnel Cake,USA,Texas,"Batter, Sugar, Oil","Crispy and hot, often served with sauces or chutneys.",Fried,1.59,1
Kokoreç,Turkey,Izmir,"Lamb Intestines, Spices, Bread",Charred to perfection with a smoky flavor.,Grilled,4.33,0
Funnel Cake,USA,Texas,"Batter, Sugar, Oil","Crispy and hot, often served with sauces or chutneys.",Fried,0.72,1
Pad Thai,Thailand,Bangkok,"Rice 0odles, Tofu, Eggs, Peanuts, Bean Sprouts",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,3.11,1
Quesadilla,Mexico,Puebla,"Tortilla, Cheese, Mushrooms",Charred to perfection with a smoky flavor.,Grilled,2.24,1
Kokoreç,Turkey,Izmir,"Lamb Intestines, Spices, Bread",Charred to perfection with a smoky flavor.,Grilled,3.41,0
Pad Thai,Thailand,Bangkok,"Rice 0odles, Tofu, Eggs, Peanuts, Bean Sprouts",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,3.85,1
Pani Puri,India,Delhi,"Semolina, Tamarind, Chickpeas, Spices",Put together fresh with a mix of flavors and textures.,Assembled,4.49,1
Takoyaki,Japan,Osaka,"Octopus, Flour Batter, Bonito Flakes, Green Onions","Crispy and hot, often served with sauces or chutneys.",Fried,2.92,0
Hot Dog,USA,New York,"Sausage, Bun, Mustard, Ketchup",Charred to perfection with a smoky flavor.,Grilled,3.89,0
Hot Dog,USA,New York,"Sausage, Bun, Mustard, Ketchup",Charred to perfection with a smoky flavor.,Grilled,2.37,0
Moo Ping,Thailand,Chiang Mai,"Pork, Garlic, Soy Sauce, Sugar",Charred to perfection with a smoky flavor.,Grilled,3.11,0
Vada Pav,India,Mumbai,"Potato, Spices, Bread Bun, Chutney","Crispy and hot, often served with sauces or chutneys.",Fried,0.37,1
Taiyaki,Japan,Kyoto,"Flour, Red Bean Paste",Golden brown and fluffy with a soft interior.,Baked,3.76,1
Philly Cheesesteak,USA,Philadelphia,"Beef, Cheese, Roll, Onions",Charred to perfection with a smoky flavor.,Grilled,4.5,0
Philly Cheesesteak,USA,Philadelphia,"Beef, Cheese, Roll, Onions",Charred to perfection with a smoky flavor.,Grilled,2.37,0
Taiyaki,Japan,Kyoto,"Flour, Red Bean Paste",Golden brown and fluffy with a soft interior.,Baked,0.3,1
Pani Puri,India,Delhi,"Semolina, Tamarind, Chickpeas, Spices",Put together fresh with a mix of flavors and textures.,Assembled,3.56,1
Kathi Roll,India,Kolkata,"Flatbread, Egg, Chicken, Onions, Chutney",Charred to perfection with a smoky flavor.,Grilled,3.26,0
Moo Ping,Thailand,Chiang Mai,"Pork, Garlic, Soy Sauce, Sugar",Charred to perfection with a smoky flavor.,Grilled,4.99,0
Hot Dog,USA,New York,"Sausage, Bun, Mustard, Ketchup",Charred to perfection with a smoky flavor.,Grilled,4.25,0
Roti Sai Mai,Thailand,Ayutthaya,"Roti, Cotton Candy",Put together fresh with a mix of flavors and textures.,Assembled,1.16,1
Hot Dog,USA,New York,"Sausage, Bun, Mustard, Ketchup",Charred to perfection with a smoky flavor.,Grilled,4.33,0
Elote,Mexico,Guadalajara,"Corn, Mayo, Cheese, Chili Powder","Soft and juicy, sometimes charred for flavor.",Boiled/Grilled,1.6,1
Philly Cheesesteak,USA,Philadelphia,"Beef, Cheese, Roll, Onions",Charred to perfection with a smoky flavor.,Grilled,4.34,0
Hot Dog,USA,New York,"Sausage, Bun, Mustard, Ketchup",Charred to perfection with a smoky flavor.,Grilled,1.25,0
Gözleme,Turkey,Ankara,"Dough, Spinach, Cheese",Charred to perfection with a smoky flavor.,Grilled,2.19,1
Pad Thai,Thailand,Bangkok,"Rice 0odles, Tofu, Eggs, Peanuts, Bean Sprouts",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,4.33,1
Pad Thai,Thailand,Bangkok,"Rice 0odles, Tofu, Eggs, Peanuts, Bean Sprouts",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,0.48,1
Roti Sai Mai,Thailand,Ayutthaya,"Roti, Cotton Candy",Put together fresh with a mix of flavors and textures.,Assembled,3.57,1
Takoyaki,Japan,Osaka,"Octopus, Flour Batter, Bonito Flakes, Green Onions","Crispy and hot, often served with sauces or chutneys.",Fried,3.65,0
Pani Puri,India,Delhi,"Semolina, Tamarind, Chickpeas, Spices",Put together fresh with a mix of flavors and textures.,Assembled,4.3,1
Hot Dog,USA,New York,"Sausage, Bun, Mustard, Ketchup",Charred to perfection with a smoky flavor.,Grilled,2.79,0
Simit,Turkey,Istanbul,"Flour, Sesame Seeds, Yeast",Golden brown and fluffy with a soft interior.,Baked,3.94,1
Pani Puri,India,Delhi,"Semolina, Tamarind, Chickpeas, Spices",Put together fresh with a mix of flavors and textures.,Assembled,4.6,1
Pad Thai,Thailand,Bangkok,"Rice 0odles, Tofu, Eggs, Peanuts, Bean Sprouts",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,3.91,1
Funnel Cake,USA,Texas,"Batter, Sugar, Oil","Crispy and hot, often served with sauces or chutneys.",Fried,4.46,1
Roti Sai Mai,Thailand,Ayutthaya,"Roti, Cotton Candy",Put together fresh with a mix of flavors and textures.,Assembled,4.23,1
Pani Puri,India,Delhi,"Semolina, Tamarind, Chickpeas, Spices",Put together fresh with a mix of flavors and textures.,Assembled,1.59,1
Vada Pav,India,Mumbai,"Potato, Spices, Bread Bun, Chutney","Crispy and hot, often served with sauces or chutneys.",Fried,3.49,1
Kokoreç,Turkey,Izmir,"Lamb Intestines, Spices, Bread",Charred to perfection with a smoky flavor.,Grilled,3.58,0
Vada Pav,India,Mumbai,"Potato, Spices, Bread Bun, Chutney","Crispy and hot, often served with sauces or chutneys.",Fried,4.57,1
Elote,Mexico,Guadalajara,"Corn, Mayo, Cheese, Chili Powder","Soft and juicy, sometimes charred for flavor.",Boiled/Grilled,2.3,1
Pani Puri,India,Delhi,"Semolina, Tamarind, Chickpeas, Spices",Put together fresh with a mix of flavors and textures.,Assembled,0.68,1
Roti Sai Mai,Thailand,Ayutthaya,"Roti, Cotton Candy",Put together fresh with a mix of flavors and textures.,Assembled,3.96,1
Takoyaki,Japan,Osaka,"Octopus, Flour Batter, Bonito Flakes, Green Onions","Crispy and hot, often served with sauces or chutneys.",Fried,1.5,0
Kathi Roll,India,Kolkata,"Flatbread, Egg, Chicken, Onions, Chutney",Charred to perfection with a smoky flavor.,Grilled,1.28,0
Vada Pav,India,Mumbai,"Potato, Spices, Bread Bun, Chutney","Crispy and hot, often served with sauces or chutneys.",Fried,3.57,1
Quesadilla,Mexico,Puebla,"Tortilla, Cheese, Mushrooms",Charred to perfection with a smoky flavor.,Grilled,2.98,1
Kokoreç,Turkey,Izmir,"Lamb Intestines, Spices, Bread",Charred to perfection with a smoky flavor.,Grilled,0.53,0
Kathi Roll,India,Kolkata,"Flatbread, Egg, Chicken, Onions, Chutney",Charred to perfection with a smoky flavor.,Grilled,1.49,0
Hot Dog,USA,New York,"Sausage, Bun, Mustard, Ketchup",Charred to perfection with a smoky flavor.,Grilled,2.25,0
Philly Cheesesteak,USA,Philadelphia,"Beef, Cheese, Roll, Onions",Charred to perfection with a smoky flavor.,Grilled,0.33,0
Moo Ping,Thailand,Chiang Mai,"Pork, Garlic, Soy Sauce, Sugar",Charred to perfection with a smoky flavor.,Grilled,3.36,0
Taiyaki,Japan,Kyoto,"Flour, Red Bean Paste",Golden brown and fluffy with a soft interior.,Baked,2.06,1
Simit,Turkey,Istanbul,"Flour, Sesame Seeds, Yeast",Golden brown and fluffy with a soft interior.,Baked,2.97,1
Tacos al Pastor,Mexico,Mexico City,"Pork, Pineapple, Onions, Cilantro",Charred to perfection with a smoky flavor.,Grilled,4.51,0
Funnel Cake,USA,Texas,"Batter, Sugar, Oil","Crispy and hot, often served with sauces or chutneys.",Fried,1.12,1
Moo Ping,Thailand,Chiang Mai,"Pork, Garlic, Soy Sauce, Sugar",Charred to perfection with a smoky flavor.,Grilled,3.2,0
Philly Cheesesteak,USA,Philadelphia,"Beef, Cheese, Roll, Onions",Charred to perfection with a smoky flavor.,Grilled,2.83,0
Hot Dog,USA,New York,"Sausage, Bun, Mustard, Ketchup",Charred to perfection with a smoky flavor.,Grilled,3.32,0
Roti Sai Mai,Thailand,Ayutthaya,"Roti, Cotton Candy",Put together fresh with a mix of flavors and textures.,Assembled,2.31,1
Taiyaki,Japan,Kyoto,"Flour, Red Bean Paste",Golden brown and fluffy with a soft interior.,Baked,1.46,1
Philly Cheesesteak,USA,Philadelphia,"Beef, Cheese, Roll, Onions",Charred to perfection with a smoky flavor.,Grilled,4.24,0
Yakisoba,Japan,Tokyo,"0odles, Pork, Cabbage, Yakisoba Sauce",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,2.93,0
Takoyaki,Japan,Osaka,"Octopus, Flour Batter, Bonito Flakes, Green Onions","Crispy and hot, often served with sauces or chutneys.",Fried,0.69,0
Hot Dog,USA,New York,"Sausage, Bun, Mustard, Ketchup",Charred to perfection with a smoky flavor.,Grilled,3.66,0
Simit,Turkey,Istanbul,"Flour, Sesame Seeds, Yeast",Golden brown and fluffy with a soft interior.,Baked,4.06,1
Yakisoba,Japan,Tokyo,"0odles, Pork, Cabbage, Yakisoba Sauce",Quickly tossed in a hot pan with bold flavors.,Stir-Fried,2.62,0
Kokoreç,Turkey,Izmir,"Lamb Intestines, Spices, Bread",Charred to perfection with a smoky flavor.,Grilled,0.39,0
Takoyaki,Japan,Osaka,"Octopus, Flour Batter, Bonito Flakes, Green Onions","Crispy and hot, often served with sauces or chutneys.",Fried,4.17,0
Takoyaki,Japan,Osaka,"Octopus, Flour Batter, Bonito Flakes, Green Onions","Crispy and hot, often served with sauces or chutneys.",Fried,1.25,0
Funnel Cake,USA,Texas,"Batter, Sugar, Oil","Crispy and hot, often served with sauces or chutneys.",Fried,0.98,1
Quesadilla,Mexico,Puebla,"Tortilla, Cheese, Mushrooms",Charred to perfection with a smoky flavor.,Grilled,2.19,1
Taiyaki,Japan,Kyoto,"Flour, Red Bean Paste",Golden brown and fluffy with a soft interior.,Baked,1.63,1
Funnel Cake,USA,Texas,"Batter, Sugar, Oil","Crispy and hot, often served with sauces or chutneys.",Fried,2.64,1
Gözleme,Turkey,Ankara,"Dough, Spinach, Cheese",Charred to perfection with a smoky flavor.,Grilled,2.36,1
Simit,Turkey,Istanbul,"Flour, Sesame Seeds, Yeast",Golden brown and fluffy with a soft interior.,Baked,0.58,1
Moo Ping,Thailand,Chiang Mai,"Pork, Garlic, Soy Sauce, Sugar",Charred to perfection with a smoky flavor.,Grilled,3.05,0
Tacos al Pastor,Mexico,Mexico City,"Pork, Pineapple, Onions, Cilantro",Charred to perfection with a smoky flavor.,Grilled,2.64,0
Simit,Turkey,Istanbul,"Flour, Sesame Seeds, Yeast",Golden brown and fluffy with a soft interior.,Baked,0.59,1
Kokoreç,Turkey,Izmir,"Lamb Intestines, Spices, Bread",Charred to perfection with a smoky flavor.,Grilled,2.99,0
Tacos al Pastor,Mexico,Mexico City,"Pork, Pineapple, Onions, Cilantro",Charred to perfection with a smoky flavor.,Grilled,0.78,0
Funnel Cake,USA,Texas,"Batter, Sugar, Oil","Crispy and hot, often served with sauces or chutneys.",Fried,4.21,1
Elote,Mexico,Guadalajara,"Corn, Mayo, Cheese, Chili Powder","Soft and juicy, sometimes charred for flavor.",Boiled/Grilled,1.14,1
Taiyaki,Japan,Kyoto,"Flour, Red Bean Paste",Golden brown and fluffy with a soft interior.,Baked,2.12,1
Roti Sai Mai,Thailand,Ayutthaya,"Roti, Cotton Candy",Put together fresh with a mix of flavors and textures.,Assembled,0.46,1
Funnel Cake,USA,Texas,"Batter, Sugar, Oil","Crispy and hot, often served with sauces or chutneys.",Fried,1.92,1
Kathi Roll,India,Kolkata,"Flatbread, Egg, Chicken, Onions, Chutney",Charred to perfection with a smoky flavor.,Grilled,1.44,0
Simit,Turkey,Istanbul,"Flour, Sesame Seeds, Yeast",Golden brown and fluffy with a soft interior.,Baked,1.03,1
